Query	Statistic	P-value	FDR (BH)	Event_SD	Event_TD
ADAMTS5	0.481947005063326	5.99996992000075e-06	4.02170704815951e-05	80	80
ADAMTS6	0.133964276184515	0.236134641910317	0.336457890371086	80	80
ADAMTS7	-0.0205864217687636	0.856169944160592	0.899995562067123	80	80
ADAMTS8	0.496166965185582	2.86399950146581e-06	2.11464576252057e-05	80	80
ADAMTS9	0.422904192519978	9.30331243599615e-05	0.000435007143044821	80	80
ADAMTSL1	0.693210957225438	1.03379401151735e-12	5.11898153702985e-11	80	80
ADAMTSL2	0.339872137114978	0.00203936858402381	0.00617259418155409	80	80
ADAMTSL3	0.75078656846496	1.0647756614365e-15	1.36117301712657e-13	80	80
ADAMTSL4	0.141867391311221	0.209373506159367	0.305270358079284	80	80
ADAMTSL5	-0.349579605161142	0.00148066898475878	0.00468160437647865	80	80
ADAP1	-0.58859593341111	9.35344417239912e-09	1.4473418874047e-07	80	80
ADAP2	0.61021877165792	1.86560103294832e-09	3.48512804235304e-08	80	80
ADARB1	0.691682556344482	1.2140084376572e-12	5.8341009906971e-11	80	80
ADARB2	0.249559412458931	0.0255854494857868	0.053630458310203	80	75
ADAR	0.162506635883334	0.149805099103854	0.232949430225177	80	80
ADAT1	0.347064996892863	0.00161025762141023	0.00503690126266128	80	80
ADAT2	-0.145043473631995	0.199250140784884	0.293436752022555	80	80
ADAT3	-0.462275483341066	1.58290498270345e-05	9.40462896618978e-05	80	80
ADA	0.0679183463047193	0.549432204643787	0.652225819085802	80	80
ADCK1	0.0945792875274857	0.403998234548789	0.513971736017938	80	80
ADCK2	0.0380570782098305	0.737506637088583	0.809396762567833	80	80
ADCK4	-0.329330637879087	0.00285482551426329	0.00824048586680574	80	80
ADCK5	-0.63472095141215	2.57556641417418e-10	6.18104337359911e-09	80	80
ADCY10	0.0617440059888202	0.586384324382612	0.684313305525031	80	71
ADCY1	0.42406670583078	8.85638880100854e-05	0.000416499419473253	80	80
ADCY2	0.31086125982891	0.00500733712887677	0.0133195303826602	80	80
ADCY3	0.568996019429125	3.65357143073786e-08	4.81862465366162e-07	80	80
ADCY4	0.455394336130516	2.19183149291776e-05	0.000124730963543726	80	80
ADCY5	0.574942123799034	2.43940132107981e-08	3.39830843582622e-07	80	80
ADCY6	-0.121560203859329	0.282757739791238	0.388184083145703	80	80
ADCY7	0.197033729949916	0.0798075514352276	0.139508079231532	80	80
ADCY8	0.0563497404014588	0.619562960988982	0.712993172157184	80	39
ADCY9	0.475374169698795	8.35257273143578e-06	5.33533540346677e-05	80	80
ADCYAP1R1	0.499540142020691	2.39138032754962e-06	1.81431372484651e-05	80	60
ADCYAP1	0.502913786927974	1.99284480058682e-06	1.5516740228773e-05	80	80
ADC	0.233887579836523	0.0367900528443495	0.0728390164573977	80	80
ADD1	0.462437252418751	1.57070651050605e-05	9.35203915950922e-05	80	80
ADD2	0.636572142222928	2.20188222824342e-10	5.4035902763128e-09	80	80
ADD3	0.312274351480467	0.00480242868303933	0.0128619338096079	80	80
ADH1A	0.510466850034715	1.31556989231638e-06	1.09308545130909e-05	80	76
ADH1B	0.709042106691426	1.84223551184746e-13	1.16987936286443e-11	80	79
ADH1C	0.0648961548396688	0.56737830871915	0.668075068900977	80	80
ADH4	0.268162770684273	0.0161725340045184	0.0363309067505667	80	69
ADH5	0.177330560214779	0.115573116409093	0.189083612199536	80	80
ADH6	-0.0178158035886753	0.875360001633161	0.913703202360091	80	79
ADH7	0.023767866121631	0.834237468638698	0.884272232694838	80	16
ADHFE1	0.269075180504429	0.0158002819277646	0.0356375062656517	80	80
ADI1	-0.0143680291799372	0.899339725836592	0.9308946707048	80	80
ADIG	-0.085918761236644	0.448577397111883	0.558267072417365	80	3
ADIPOQ	0.712543298900491	1.23856426015435e-13	8.15659204187171e-12	80	59
ADIPOR1	-0.332235893988901	0.00260507752608638	0.00762080636146028	80	80
ADIPOR2	-0.043173468708537	0.703756051220086	0.781986478383054	80	80
ADK	-0.0869196936732574	0.443289456768902	0.553340895075816	80	80
ADM2	-0.179981300807789	0.110145120087425	0.181876606482899	80	80
ADM	-0.408720051446452	0.000167237981886453	0.000720962681886078	80	80
ADNP2	0.359942187156117	0.00104025729197854	0.00345439598876202	80	80
ADNP	0.149978633964841	0.18422381114739	0.275539766172043	80	80
ADORA1	0.0219440297024953	0.846796423196397	0.893049241955049	80	80
ADORA2A	0.631239356939514	3.44893590351289e-10	7.94555210091974e-09	80	80
ADORA2B	-0.473405257521357	9.21051162197401e-06	5.81311380491092e-05	80	80
ADORA3	0.514712646303602	1.03708079947946e-06	8.8616266304145e-06	80	80
ADO	0.176691815213863	0.116911422956887	0.190778451661417	80	80
ADPGK	0.0248022845362824	0.827132627148436	0.878816593666706	80	80
ADPRHL1	-0.289002410708703	0.00932328988464144	0.0226414485788058	80	80
ADPRHL2	-0.353197078502653	0.00131074247440507	0.00421242393310693	80	80
ADPRH	0.714431314117358	9.97408482576237e-14	6.75028114557392e-12	80	80
ADRA1A	0.646919471440613	8.98879671723832e-11	2.46926790719753e-09	80	67
ADRA1B	-0.208340790426379	0.0636626087034473	0.115422410421832	80	80
ADRA1D	0.365227270303628	0.000864883145641802	0.00294195642532313	80	79
ADRA2A	0.139778502654147	0.216227577684691	0.313343349776608	80	80
ADRA2B	0.137715047989243	0.223152228340701	0.321567408392822	80	80
ADRA2C	-0.0340482350360942	0.764306328806161	0.830734508759083	80	80
ADRB1	0.166081284090351	0.140928168968787	0.221987119019128	80	80
ADRB2	0.64610590290266	9.6567557054723e-11	2.61964611433194e-09	80	80
ADRB3	0.494088248575765	3.19761608453696e-06	2.33206113562363e-05	80	75
ADRBK1	-0.350911051859826	0.00141593911059423	0.00451121568074809	80	80
ADRBK2	0.595262997928897	5.76233995521123e-09	9.47902499444713e-08	80	80
ADRM1	-0.571948088244347	2.99263383415534e-08	4.0563357700793e-07	80	80
ADSL	-0.0729994429408075	0.519893123944136	0.625447268417703	80	80
ADSSL1	-0.00105138066137317	0.992615019801825	0.994598215794257	80	80
ADSS	-0.368190959866981	0.000778746273676017	0.00268491069395897	80	80
AEBP1	0.221909727008302	0.0478922519259077	0.0908206860014377	80	80
AEBP2	0.061717629538781	0.586544576227888	0.684459481322192	80	80
AEN	-0.0214559209716381	0.850164164250755	0.895534798668888	80	80
AES	-0.29407550255281	0.00810377323180768	0.0200965767263759	80	80
AFAP1L1	0.476547427118347	7.87755906626397e-06	5.08170111401903e-05	80	80
AFAP1L2	-0.185854205523136	0.0988237932211715	0.166284804853139	80	80
AFAP1	0.144641971941436	0.200510145712529	0.294959231347124	80	80
AFARP1	-0.209289812995306	0.0624376751911285	0.113580588640558	80	76
AFF1	0.546331993936455	1.58739261868483e-07	1.73548419389919e-06	80	80
AFF2	0.585154364847498	1.1959642582265e-08	1.79523138347292e-07	80	80
AFF3	0.699480989820972	5.29138940562362e-13	2.88284917505828e-11	80	80
AFF4	0.40349623442675	0.000206213018312431	0.000864591731012398	80	80
AFG3L1	-0.244731612442341	0.0286782037793468	0.0590563263550477	80	80
AFG3L2	-0.117306296844577	0.300067204560506	0.407462258865402	80	80
AFMID	-0.241845328499583	0.0306737637227397	0.0625625786170813	80	80
AFM	0.105585966814227	0.351266599457741	0.460607630651244	80	35
AFP	-0.0694835962534079	0.540246755678437	0.644113763749744	80	52
AFTPH	-0.0167943573313329	0.882453601185396	0.919058039701021	80	80
AG2	0.319217883371922	0.00389981602137783	0.010761357443867	80	80
AGAP11	0.275527699723865	0.0133725115664337	0.030912770798709	80	80
AGAP1	-0.0829426553645442	0.464505828665294	0.573492583188011	80	80
AGAP2	0.388276584204892	0.000372405195590082	0.00143483050544588	80	80
